tr,site,plot,sw,sn,sp,sk,nvm,ncm,nvf,ncf,cn,fn,sdn,vrf,vrm,agb,nsc,ssr,pn,pr,log(pn),log(pr)
2,2,8,60.3,5.03,1.45,11.3,0.072,41.1,0.176,41.9,15.9,14.6,10.2,10.5,1.4,1.548,1.176,0.68,11526,2941.3,4.061678615,3.468539323
2,2,9,74.5,4.33,1.27,13.89,0.077,41.4,0.175,42.4,18.6,12.2,7.9,6.8,1.8,1.514,1.226,0.63,11527.33333,2922.8,4.061728852,3.465799099
2,2,10,72.3,7.67,1.34,14.29,0.077,40.9,0.159,43,13.6,14.2,8.6,8.8,1.4,1.665,1.326,0.58,11660.66667,2809.6,4.066723381,3.448644494
2,3,1,52.8,8.18,1.57,14.67,0.069,42.5,0.184,42.3,16.6,15.4,11.7,9.8,1.1,1.518,1.615,0.74,11816,2545,4.072470482,3.405687787
2,3,2,69.3,7.17,1.54,10.98,0.072,41.9,0.175,43.8,12.6,16.2,12.1,9.9,1.2,1.593,1.136,0.73,11788.66667,2646.2,4.071464688,3.422622665
2,3,3,80.3,4.58,1.43,11.57,0.077,41.6,0.17,42.5,16.9,17.6,11.2,8.6,1.6,1.385,1.015,0.62,12112,2882.7,4.083215862,3.459799448
2,3,4,70.3,5.13,1.3,12.2,0.076,42,0.177,41.9,12.6,16.5,11,8.9,1.9,1.103,1.125,0.65,11819.33333,3056.9,4.072592981,3.485281232
2,3,5,57.1,7.76,1.65,10.4,0.075,40.9,0.159,42.4,17.6,15.9,10.2,10.8,1.5,1.048,1.048,0.62,12210.66667,2825.4,4.086739376,3.451079941
2,3,6,73,3.76,1.43,11.9,0.073,41,0.206,41.9,22.6,15.8,12.9,12.6,1.3,1.618,1.529,0.8,12386,2987.3,4.092931076,3.475278839
2,3,7,66.9,5.07,1.47,13.99,0.06,40.3,0.16,42.5,15.9,18.1,12.7,8.9,1.1,1,1.058,0.68,10852,2623.1,4.035509785,3.418814847
2,3,8,76.7,7.13,1.29,14.11,0.069,41.5,0.168,43.2,19.9,15.6,12.4,10.5,1.3,1.496,1.615,0.78,10962.66667,2648.5,4.039916209,3.422999977
2,3,9,59.9,7.17,0.86,10.11,0.065,40.6,0.151,42,14.9,15.3,9.9,8.1,1.3,0.905,0.968,0.63,10996.66667,2871.3,4.041261061,3.458078571
2,3,10,86.7,6.17,1.22,13.9,0.067,41.9,0.164,42,19.2,15.8,9.9,6.9,1.4,1.282,1.195,0.61,11385.46667,2800.9,4.056350836,3.447297604
