"","tr","variable","value"
"383","0% lar","agb",1.229
"384","0% lar","agb",1.124
"385","0% lar","agb",0.927
"386","0% lar","agb",1.019
"387","0% lar","agb",0.991
"388","0% lar","agb",1.108
"389","0% lar","agb",1.204
"390","0% lar","agb",1.07
"391","30% lar","agb",1.106
"392","30% lar","agb",1.151
"393","30% lar","agb",1.271
"394","30% lar","agb",1.224
"395","30% lar","agb",1.138
"396","30% lar","agb",1.304
"397","30% lar","agb",1.069
"398","30% lar","agb",1.284
"399","30% lar","agb",1.337
"400","30% lar","agb",1.257
"401","30% lar","agb",1.203
"402","30% lar","agb",1.056
"403","30% lar","agb",1.191
"404","30% lar","agb",1.004
"405","30% lar","agb",1.199
"406","30% lar","agb",1.239
"407","30% lar","agb",1.242
"408","30% lar","agb",1.411
"409","30% lar","agb",1.294
"410","30% lar","agb",1.119
"411","30% lar","agb",1.085
"412","30% lar","agb",1.327
"413","30% lar","agb",1.315
"414","30% lar","agb",1.125
"415","30% lar","agb",1.19
"416","30% lar","agb",1.46
"417","30% lar","agb",1.317
"418","30% lar","agb",1.182
"419","30% lar","agb",1.173
"420","30% lar","agb",1.103
"421","0% lar","nsc",1.843
"422","0% lar","nsc",2.008
"423","0% lar","nsc",1.9432
"424","0% lar","nsc",1.8403
"425","0% lar","nsc",2.0529
"426","0% lar","nsc",2.1381
"427","0% lar","nsc",2.808
"428","0% lar","nsc",1.957684
"429","0% lar","nsc",1.91957
"430","0% lar","nsc",2.0158
"431","0% lar","nsc",2.872
"432","0% lar","nsc",2.517
"433","0% lar","nsc",2.68462
"434","0% lar","nsc",2.85
"435","0% lar","nsc",2.9275
"436","0% lar","nsc",1.98376
"437","0% lar","nsc",2.115
"438","0% lar","nsc",2.92857
"439","0% lar","nsc",2.893
"440","0% lar","nsc",1.8357
"441","0% lar","nsc",1.7814
"442","0% lar","nsc",2.99372
"443","0% lar","nsc",2.843
"444","0% lar","nsc",2.448
"445","0% lar","nsc",2.624
"446","0% lar","nsc",2.05783
"447","0% lar","nsc",2.17581
"448","0% lar","nsc",2.3602
"449","0% lar","nsc",2.69174
"450","0% lar","nsc",2.59857
"451","30% lar","nsc",1.829
"452","30% lar","nsc",1.91456
"453","30% lar","nsc",1.523
"454","30% lar","nsc",1.52785
"455","30% lar","nsc",1.7632
"456","30% lar","nsc",1.81
"457","30% lar","nsc",1.753
"458","30% lar","nsc",1.942
"459","30% lar","nsc",1.864
"460","30% lar","nsc",1.775
"461","30% lar","nsc",1.544
"462","30% lar","nsc",1.569
"463","30% lar","nsc",1.44
"464","30% lar","nsc",1.192
"465","30% lar","nsc",2.046
"466","30% lar","nsc",1.599
"467","30% lar","nsc",1.511
"468","30% lar","nsc",2.058
"469","30% lar","nsc",1.90328
"470","30% lar","nsc",1.5259
"471","30% lar","nsc",1.204
"472","30% lar","nsc",1.9872
"473","30% lar","nsc",1.758
"474","30% lar","nsc",1.774
"475","30% lar","nsc",2.033
"476","30% lar","nsc",2.164
"477","30% lar","nsc",1.575
"478","30% lar","nsc",1.792
"479","30% lar","nsc",1.4028
"480","30% lar","nsc",1.32875
"481","0% lar","pn",10288.4
"482","0% lar","pn",11982.66667
"483","0% lar","pn",10741.73333
"484","0% lar","pn",12815.33333
"485","0% lar","pn",12848.66667
"486","0% lar","pn",11653.66667
"487","0% lar","pn",12192.33333
"488","0% lar","pn",12059.66667
"489","0% lar","pn",11443
"490","0% lar","pn",11422
"491","0% lar","pn",11303.33333
"492","0% lar","pn",11463.8
"493","0% lar","pn",12827.33333
"494","0% lar","pn",11041
"495","0% lar","pn",11585
"496","0% lar","pn",11625.66667
"497","0% lar","pn",11498.33333
"498","0% lar","pn",11259.33333
"499","0% lar","pn",11643.06667
"500","0% lar","pn",11571
"501","0% lar","pn",12958.73333
"502","0% lar","pn",13573
"503","0% lar","pn",12692.46667
"504","0% lar","pn",10772.33333
"505","0% lar","pn",13148.13333
"506","0% lar","pn",10600.73333
"507","0% lar","pn",12024.46667
"508","0% lar","pn",9663.933333
"509","0% lar","pn",9526
"510","0% lar","pn",12468.66667
"511","30% lar","pn",13091.4
"512","30% lar","pn",10992.8
"513","30% lar","pn",12189.1
"514","30% lar","pn",10010.5
"515","30% lar","pn",11947.6
"516","30% lar","pn",11505.6
"517","30% lar","pn",11205.7
"518","30% lar","pn",10184.9
"519","30% lar","pn",12209.3
"520","30% lar","pn",10105.5
"521","30% lar","pn",11388.66667
"522","30% lar","pn",11505.33333
"523","30% lar","pn",11679.33333
"524","30% lar","pn",12666.66667
"525","30% lar","pn",11830
"526","30% lar","pn",11568
"527","30% lar","pn",11699.33333
"528","30% lar","pn",11526
"529","30% lar","pn",11527.33333
"530","30% lar","pn",11660.66667
"531","30% lar","pn",11816
"532","30% lar","pn",11788.66667
"533","30% lar","pn",12112
"534","30% lar","pn",11819.33333
"535","30% lar","pn",12210.66667
"536","30% lar","pn",12386
"537","30% lar","pn",10852
"538","30% lar","pn",10962.66667
"539","30% lar","pn",10996.66667
"540","30% lar","pn",11385.46667
"541","0% lar","pr",4791
"542","0% lar","pr",5874.5
"543","0% lar","pr",5047.9
"544","0% lar","pr",5413.3
"545","0% lar","pr",6356.1
"546","0% lar","pr",5715.7
"547","0% lar","pr",5677.4
"548","0% lar","pr",4500.9
"549","0% lar","pr",5597.2
"550","0% lar","pr",5375.6
"551","0% lar","pr",5672.3
"552","0% lar","pr",6200.8
"553","0% lar","pr",6324.5
"554","0% lar","pr",5863.1
"555","0% lar","pr",6413
"556","0% lar","pr",5481.1
"557","0% lar","pr",5630.9
"558","0% lar","pr",5696.5
"559","0% lar","pr",5514.7
"560","0% lar","pr",5386.8
"561","0% lar","pr",4660.2
"562","0% lar","pr",5261.3
"563","0% lar","pr",4974.9
"564","0% lar","pr",5659.1
"565","0% lar","pr",5587
"566","0% lar","pr",4700.5
"567","0% lar","pr",5667.7
"568","0% lar","pr",5603.6
"569","0% lar","pr",6372.5
"570","0% lar","pr",5471.2
"571","30% lar","pr",2393.3
"572","30% lar","pr",1960.7
"573","30% lar","pr",2371.4
"574","30% lar","pr",2212
"575","30% lar","pr",2295.7
"576","30% lar","pr",2394.5
"577","30% lar","pr",2350.8
"578","30% lar","pr",2410.1
"579","30% lar","pr",2501.6
"580","30% lar","pr",2382.8
"581","30% lar","pr",2524.5
"582","30% lar","pr",2189.2
"583","30% lar","pr",2192.7
"584","30% lar","pr",2265.4
"585","30% lar","pr",2269.1
"586","30% lar","pr",2409.4
"587","30% lar","pr",2045
"588","30% lar","pr",2441.3
"589","30% lar","pr",2422.8
"590","30% lar","pr",2309.6
"591","30% lar","pr",2050.3
"592","30% lar","pr",2556.9
"593","30% lar","pr",2382.7
"594","30% lar","pr",2123.1
"595","30% lar","pr",2325.4
"596","30% lar","pr",2487.3
"597","30% lar","pr",2146.2
"598","30% lar","pr",2148.5
"599","30% lar","pr",2371.3
"600","30% lar","pr",2300.9
"601","0% lar","fn",17.8
"602","0% lar","fn",19.4
"603","0% lar","fn",17.3
"604","0% lar","fn",18.9
"605","0% lar","fn",15.2
"606","0% lar","fn",17.8
"607","0% lar","fn",13.6
"608","0% lar","fn",19.3
"609","0% lar","fn",15.5
"610","0% lar","fn",16.5
"611","0% lar","fn",17.4
"612","0% lar","fn",16.7
"613","0% lar","fn",16.9
"614","0% lar","fn",18.5
"615","0% lar","fn",18.8
"616","0% lar","fn",12.5
"617","0% lar","fn",15.3
"618","0% lar","fn",13.7
"619","0% lar","fn",12.8
"620","0% lar","fn",13.6
"621","0% lar","fn",17.1
"622","0% lar","fn",17.5
"623","0% lar","fn",15.8
"624","0% lar","fn",15.7
"625","0% lar","fn",16.9
"626","0% lar","fn",13.2
"627","0% lar","fn",12.8
"628","0% lar","fn",13.4
"629","0% lar","fn",13.8
"630","0% lar","fn",14.2
"631","30% lar","fn",18.1
"632","30% lar","fn",19.2
"633","30% lar","fn",17.1
"634","30% lar","fn",16.4
"635","30% lar","fn",17.1
"636","30% lar","fn",14.2
"637","30% lar","fn",13.8
"638","30% lar","fn",13.1
"639","30% lar","fn",12.9
"640","30% lar","fn",18.8
